id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_XD1EUzQpZXt,EP,Lay Down Sally (Live),Jerry Garcia Band,,2026-09-15T08:43:06Z,2026-09-15T08:43:06Z,1,1
MPREb_0yLIQ9ZlLv5,Album,The Current Above - Immersion Seven,Steve Roach,,2026-09-14T08:57:42Z,2026-09-17T08:41:23Z,4,10
MPREb_dnUETVJ8B2d,EP,And so it goes...,Liana Flores,,2026-09-14T08:57:42Z,2026-09-16T08:37:41Z,3,7
MPREb_pqvJAWPMypC,Album,Shelved First Attempt,Ben Folds Five,,2026-09-14T08:57:42Z,2026-09-14T08:57:42Z,1,10
MPREb_neJyIu2ZQpu,Single,Helyntion Trydanol Three,Rob Jenkins,,2026-09-13T08:20:33Z,2026-09-16T08:37:41Z,4,10
MPREb_Z2uNbKDGZrk,Single,Concave,SVLBRD,,2026-09-13T08:20:33Z,2026-09-16T08:37:41Z,4,9
MPREb_Ql0gcSLDlQK,EP,So Long Little Miss Sunshine (Acoustic EP),Molly Tuttle,,2026-09-12T20:00:29Z,2026-09-15T08:43:06Z,4,7
MPREb_f6o6SrEObNT,Single,"Brown-Eyed Women (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,,2026-09-12T20:00:29Z,2026-09-17T08:41:23Z,4,4
MPREb_1O4lhtiurF6,Single,Red Dirt Girl (feat. Jerry Douglas),AJ Lee & Blue Summit,,2026-09-12T19:47:15Z,2026-09-15T08:43:06Z,8,6
MPREb_B8CWXuS0BnZ,Album,Rent Money,Pokey LaFarge,,2026-09-12T19:29:50Z,2026-09-16T05:17:55Z,6,8
MPREb_GvPMXBmBE6G,Album,Distance in Static,Bonobo,,2026-09-12T19:29:50Z,2026-09-24T08:29:34Z,10,10
MPREb_LufPmeczCuq,Album,Cover to Cover,AJ Lee & Blue Summit,,2026-09-12T19:29:50Z,2026-09-15T08:43:06Z,9,5
MPREb_nWQu04OH4ZW,Single,Pair of Dice,Sierra Ferrell,,2026-09-12T19:29:50Z,2026-09-15T08:43:06Z,8,2
MPREb_VGOr4A3QrpK,Single,Found You (Live at Real World Studios) (Alternate Take),Alfa Mist,,2026-09-12T19:29:50Z,2026-09-16T05:17:55Z,8,9
MPREb_S2mkwH034mn,Single,Song Of You,The California Honeydrops,,2026-09-12T19:29:50Z,2026-09-22T08:34:36Z,10,1
MPREb_KphpV4ytrzV,Single,Refugee,Edmar Castañeda,,2026-09-12T19:29:50Z,2026-09-23T08:36:53Z,9,7
MPREb_Slw7iVBVhct,Single,You Wish (Abbey Road Fuzz Gospel Version),,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,8
MPREb_NtSKa50FBy2,Album,Browning Out With Ivan The Tolerable,Ivan the Tolerable,,2026-09-12T19:29:50Z,2026-09-14T08:57:42Z,6,2
MPREb_lpS4jCc7whP,Single,Blue Mountain Hop - Live Heart,Béla Fleck,,2026-09-12T19:29:50Z,2026-09-15T08:43:06Z,9,3
